time x y z vx vy vz
0.0 30.0 0.0 0.0 0.0 215.13 0.0
0.01 29.9168945814 2.13774414964 0.0 -16.6210837182 212.418829929 0.0
0.02 29.6687792279 4.24251275117 0.0 -33.0019869809 208.534890376 0.0
0.03 29.2584152516 6.30271845378 0.0 -49.0708082876 203.506250147 0.0
0.04 28.6892606135 8.30706319132 0.0 -64.7601193239 197.36269736 0.0
0.05 27.9654278665 10.2445515333 0.0 -80.0064300792 190.134971045 0.0
0.060000000000000005 27.0916479153 12.1044970153 0.0 -94.7495601649 181.854125351 0.0
0.07 26.0732404474 13.8765227606 0.0 -108.931933409 172.551023714 0.0
0.08 24.9160917448 15.5505576796 0.0 -122.497807103 162.25596008 0.0
0.09 23.6266404985 17.1168295086 0.0 -135.392442157 150.99840572 0.0
0.09999999999999999 22.2118722072 18.565855954 0.0 -147.561216111 138.806883368 0.0
0.10999999999999999 20.6793227385 19.8884352454 0.0 -158.948677635 125.708974907 0.0
0.11999999999999998 19.0370916555 21.0756374942 0.0 -169.497538959 111.731474847 0.0
0.12999999999999998 17.2938659515 22.1187984145 0.0 -179.147601847 96.9007092129 0.0
0.13999999999999999 15.4589548746 23.0095172033 0.0 -187.834613531 81.2430485503 0.0
0.15 13.5423365469 23.7396607192 0.0 -195.489052003 64.7856546359 0.0
0.16 11.5547170568 24.301376561 0.0 -202.034846033 47.5575137167 0.0
0.17 9.50760259857 24.6871182538 0.0 -207.388045604 29.5908248485 0.0
0.18000000000000002 7.41338499499 24.8896865305 0.0 -211.455475113 10.9228304824 0.0
0.19000000000000003 5.28544048079 24.9022916704 0.0 -214.133427726 -8.40180249742 0.0
0.20000000000000004 3.1382408479 24.7186430538 0.0 -215.306498852 -28.3279208214 0.0
0.21000000000000005 0.987474775862 24.3330734932 0.0 -214.846715557 -48.7859912944 0.0
0.22000000000000006 -1.14982482087 23.7407074691 0.0 -212.613203791 -69.6872135254 0.0
0.23000000000000007 -3.25515461086 22.937683969 0.0 -208.452754206 -90.9174865042 0.0
0.24000000000000007 -5.30842741096 21.9214458922 0.0 -202.201805816 -112.330128851 0.0
0.25000000000000006 -7.28788925678 20.6911083418 0.0 -193.690563348 -133.737381225 0.0
0.26000000000000006 -9.17009297359 19.2479165689 0.0 -182.750180013 -154.900973361 0.0
0.2700000000000001 -10.9299644669 17.5957993086 0.0 -169.224118641 -175.522478695 0.0
0.2800000000000001 -12.5410092504 15.7420125983 0.0 -152.984838074 -195.234863376 0.0
0.2900000000000001 -13.9757166586 13.6978504166 0.0 -133.956643567 -213.597572955 0.0
0.3000000000000001 -15.2062229591 11.4793697127 0.0 -112.144616525 -230.098567835 0.0
0.3100000000000001 -16.2052846753 9.10803912711 0.0 -87.6677267069 -244.167549276 0.0
0.3200000000000001 -16.9475806702 6.61117882805 0.0 -60.791472277 -255.204510536 0.0
0.3300000000000001 -17.4112990756 4.02202741134 0.0 -31.9522087995 -262.625772805 0.0
0.34000000000000014 -17.5798757729 1.3792727152 0.0 -1.76313067233 -265.925166424 0.0
0.35000000000000014 -17.4436552865 -1.27406073126 0.0 29.007227954 -264.741522868 0.0
0.36000000000000015 -17.0011818085 -3.89235639917 0.0 59.4874676452 -258.917610714 0.0
0.37000000000000016 -16.2598413871 -6.42961395763 0.0 88.7806166447 -248.533900977 0.0
0.38000000000000017 -15.2356862485 -8.8418124851 0.0 116.050411068 -233.905804517 0.0
0.3900000000000002 -13.9524520056 -11.0890618918 0.0 140.596437515 -215.544076833 0.0
0.4000000000000002 -12.4399600875 -13.1372304856 0.0 161.901946115 -194.08964191 0.0
0.4100000000000002 -10.7322098023 -14.9588803203 0.0 179.64811092 -170.240325037 0.0
0.4200000000000002 -8.86547424649 -16.5335105441 0.0 193.699000237 -144.685719729 0.0
0.4300000000000002 -6.8766400312 -17.8472390009 0.0 204.067842821 -118.059971634 0.0
0.4400000000000002 -4.80192020019 -18.8921131889 0.0 210.876123381 -90.9148659499 0.0
0.45000000000000023 -2.6759680071 -19.6652392242 0.0 214.314315235 -63.7103411154 0.0
0.46000000000000024 -0.531350606783 -20.1678772955 0.0 214.609164829 -36.8172731372 0.0
0.47000000000000025 1.60169086876 -20.4046005534 0.0 211.99913028 -10.527378461 0.0
0.48000000000000026 3.69527394475 -20.3825685932 0.0 206.717484917 14.9337705154 0.0
0.49000000000000027 5.72376951149 -20.1109336453 0.0 198.98162843 39.3932190611 0.0
0.5000000000000002 7.66361231655 -19.6003775839 0.0 188.986932582 62.7179932175 0.0
0.5100000000000002 9.49306512529 -18.862768149 0.0 176.903629166 84.8038937585 0.0
0.5200000000000002 11.1919611886 -17.9109200829 0.0 162.875583487 105.565719462 0.0
0.5300000000000002 12.7414398897 -16.7584484346 0.0 147.020156744 124.928610208 0.0
0.5400000000000003 14.1236841269 -15.4197051475 0.0 129.428690695 142.8200472 0.0
0.5500000000000003 15.3216647564 -13.9097949741 0.0 110.167435196 159.161987488 0.0
0.5600000000000003 16.3188968958 -12.244672039 0.0 89.2789926993 173.862599528 0.0
0.5700000000000003 17.0992148506 -10.4413236612 0.0 66.7845982582 186.807076039 0.0
0.5800000000000003 17.6465770085 -8.51805320937 0.0 42.6878333201 197.847014321 0.0
0.5900000000000003 17.9449199643 -6.49487872805 0.0 16.9807578296 206.787881942 0.0
0.6000000000000003 17.9780939747 -4.39406837841 0.0 -10.3459557341 213.374187986 0.0
0.6100000000000003 17.729932435 -2.24083584598 0.0 -39.2863522211 217.272318501 0.0
0.6200000000000003 17.184540607 -0.0642146407493 0.0 -69.792013378 218.051922545 0.0
