time x y z vx vy vz
0.0 -98.0 -120.0 -127.0 -31.0 174.0 93.0
0.01 -98.306417166 -118.25661818 -126.065972402 -30.2834331903 174.676364038 93.8055196152
0.02 -98.6055933796 -116.50646353 -125.123843847 -29.5518095453 175.354565931 94.6201913431
0.03 -98.8973761047 -114.749518217 -124.17352211 -28.8047354757 176.034496763 95.4441559886
0.04 -99.1816088074 -112.985765536 -123.214913552 -28.0418050617 176.716039393 96.2775557544
0.05 -99.4581308309 -111.215189999 -122.247923102 -27.2625996394 177.399067948 97.1205341421
0.060000000000000005 -99.726777266 -109.437777423 -121.272454252 -26.4666873752 178.08344728 97.9732358404
0.07 -99.987378817 -107.653515024 -120.28840904 -25.6536228279 178.769032397 98.8358065975
0.08 -100.239761664 -105.862391523 -119.295688042 -24.8229465002 179.455667847 99.7083930783
0.09 -100.483747318 -104.064397249 -118.294190363 -23.974184378 180.143187076 100.591142704
0.09999999999999999 -100.719152477 -102.259524255 -117.283813632 -23.1068474583 180.831411737 101.484203471
0.10999999999999999 -100.945788871 -100.447766441 -116.264453996 -22.2204312676 181.520150957 102.387723751
0.11999999999999998 -101.163463104 -98.6291196835 -115.236006117 -21.3144153683 182.209200568 103.301852065
0.12999999999999998 -101.371976495 -96.8035819693 -114.198363172 -20.3882628574 182.898342273 104.226736836
0.13999999999999999 -101.571124909 -94.971153544 -113.151416858 -19.441419855 183.587342777 105.162526111
0.15 -101.760698583 -93.1318370659 -112.095057391 -18.4733149859 184.275952854 106.109367254
0.16 -101.940481952 -91.2856377698 -111.029173521 -17.4833588543 184.963906356 107.067406606
0.17 -102.110253464 -89.4325636422 -109.953652543 -16.4709435139 185.650919167 108.036789112
0.18000000000000002 -102.269785391 -87.572625606 -108.868380308 -15.4354419337 186.336688088 109.017657903
0.19000000000000003 -102.418843638 -85.7058377173 -107.773241249 -14.3762074634 187.020889651 110.010153846
0.20000000000000004 -102.557187542 -83.8322173747 -106.668118405 -13.2925732992 187.703178864 111.014415033
0.21000000000000005 -102.684569668 -81.951785541 -105.552893448 -12.183851953 188.383187878 112.030576238
0.22000000000000006 -102.800735602 -80.0645669787 -104.427446726 -11.0493347288 189.06052457 113.058768302
0.23000000000000007 -102.905423731 -78.1705905007 -103.291657297 -9.8882912093 189.734771044 114.099117473
0.24000000000000007 -102.998365031 -76.2698892353 -102.145402986 -8.6999687566 190.405482038 115.151744669
0.25000000000000006 -103.079282835 -74.3625009089 -100.988560439 -7.4835920325 191.072183234 116.216764683
0.26000000000000006 -103.147892608 -72.4484681454 -99.8210051893 -6.23836254307 191.734369475 117.294285304
0.2700000000000001 -103.203901712 -70.5278387837 -98.642611731 -4.96345821396 192.391502864 118.384406357
0.2800000000000001 -103.247009168 -68.6006662155 -97.453253606 -3.65803300336 193.043010764 119.487218656
0.2900000000000001 -103.276905416 -66.6670097433 -96.2528034984 -2.32121656044 193.688283672 120.602802858
0.3000000000000001 -103.293272068 -64.7269349601 -95.041133343 -0.952113938238 194.32667298 121.731228213
0.3100000000000001 -103.295781665 -62.7805141522 -93.818114446 0.450194628956 194.957488599 122.872551201
0.3200000000000001 -103.284097422 -60.8278267269 -92.5836176197 1.88665387238 195.579996465 124.026814045
0.3300000000000001 -103.257872985 -58.8689596651 -91.337513334 3.35823354703 196.193415894 125.194043092
0.34000000000000014 -103.216752175 -56.9040080016 -90.0796718833 4.86592838702 196.796916804 126.374247056
0.35000000000000014 -103.160368744 -54.9330753336 -88.8099635725 6.41075794211 197.389616795 127.567415098
0.36000000000000015 -103.088346123 -52.9562743593 -87.5282589233 7.99376627748 197.970578068 128.773514749
0.37000000000000016 -103.000297184 -50.9737274479 -86.2344289013 9.61602151684 198.538804211 129.992489652
0.38000000000000017 -102.895824 -48.9855672427 -84.9283451675 11.2786152067 199.093236813 131.224257116
0.3900000000000002 -102.774517617 -46.991937299 -83.6098803546 12.982661477 199.63275194 132.468705462
0.4000000000000002 -102.635957829 -44.992992757 -82.2789083715 14.7292959714 200.156156452 133.725691154
0.4100000000000002 -102.479712977 -42.9889010539 -80.9353047372 16.5196745159 200.662184168 134.995035701
0.4200000000000002 -102.305339747 -40.9798426736 -79.5789469472 18.3549714937 201.149491895 136.27652231
0.4300000000000002 -102.112383 -38.9660119376 -78.2097148742 20.2363778889 201.616655314 137.569892276
0.4400000000000002 -101.900375616 -36.9476178373 -76.8274912074 22.1650989601 202.06216474 138.874841101
0.45000000000000023 -101.668838364 -34.9248849097 -75.4321619303 24.1423514979 202.484420774 140.191014319
0.46000000000000024 -101.417279803 -32.8980541566 -74.0236168435 26.1693606215 202.881729857 141.518003024
0.47000000000000025 -101.14519622 -30.8673840085 -72.6017501331 28.24735606 203.252299761 142.855339073
0.48000000000000026 -100.8520716 -28.8331513345 -71.1664609879 30.3775678652 203.594235033 144.202489967
0.49000000000000027 -100.537377653 -26.7956524971 -69.717654271 32.5612214938 203.905532435 145.558853397
0.5000000000000002 -100.200573885 -24.7552044528 -68.2552412469 34.799532197 204.184076428 146.923751438
0.5100000000000002 -99.8411077304 -22.712145897 -66.7791403677 37.0936986483 204.427634737 148.296424403
0.5200000000000002 -99.4584147585 -20.6668384529 -65.2892781239 39.44489574 204.633854075 149.676024347
0.5300000000000002 -99.0519189474 -18.6196679022 -63.785589961 41.8542664726 204.800256085 151.061608226
0.5400000000000003 -98.6210330508 -16.5710454538 -62.2680212662 44.3229128628 204.924233592 152.452130734
0.5500000000000003 -98.1651590575 -14.5214090495 -60.7365284285 46.85188579 205.003047256 153.84643682
0.5600000000000003 -97.68368876 -12.4712246995 -59.1910799747 49.4421737065 205.033822743 155.243253931
0.5700000000000003 -97.1760044408 -10.4209878431 -57.631657785 52.0946901337 205.013548538 156.641184007
0.5800000000000003 -96.6414796908 -8.37122472772 -56.0582583886 54.8102598733 204.939074543 158.038695283
0.5900000000000003 -96.0794803721 -6.32249379689 -54.4708943423 57.5896038677 204.807111623 159.434113975
0.6000000000000003 -95.4893657395 -4.27538707737 -52.8695956929 60.4333226536 204.614232283 160.825615909
0.6100000000000003 -94.8704897344 -2.23053155263 -51.2544115222 63.3418783664 204.356872664 162.211218214
0.6200000000000003 -94.2222024662 -0.188590508858 -49.6254115752 66.3155752698 204.031336091 163.588771198
0.6300000000000003 -93.5438518958 1.84973516353 -47.9826879665 69.3545388083 203.633798386 164.955950537
0.6400000000000003 -92.8347857357 3.88370573156 -46.326356964 72.4586932083 203.16031522 166.310249968
0.6500000000000004 -92.0943535812 5.91254146637 -44.6565608408 75.6277376885 202.606831742 167.64897466
0.6600000000000004 -91.3219092859 7.93542159899 -42.97346979 78.8611213815 201.969194784 168.969235501
0.6700000000000004 -90.5168135934 9.95148341237 -41.2772838898 82.1580171179 201.243167892 170.267944556
0.6800000000000004 -89.6784370364 11.9598214992 -39.5682351072 85.5172942819 200.424449479 171.541811958
0.6900000000000004 -88.8061631099 13.9594872183 -37.8465893246 88.9374910095 199.508694342 172.787344556
0.7000000000000004 -87.8993917245 15.949488384 -36.1126483686 92.4167860747 198.491538799 174.000846647
0.7100000000000004 -86.9575429397 17.9287892262 -34.3667520197 95.9529708879 197.368629635 175.178423135
0.7200000000000004 -85.9800609747 19.8963106595 -32.6092799766 99.5434221099 196.135657018 176.31598549
0.7300000000000004 -84.9664184868 21.8509309019 -30.8406537448 103.185075478 194.788391466 177.409260866
0.7400000000000004 -83.9161211018 23.7914864836 -29.0613384167 106.874401521 193.322724872 178.453804738
0.7500000000000004 -82.8287121745 25.7167736853 -27.2718443061 110.607383925 191.734715466 179.445017396
0.7600000000000005 -81.703777748 27.6255504452 -25.4727283961 114.379501389 190.020636512 180.378164593
0.7700000000000005 -80.5409516717 29.5165387694 -23.6645955603 118.185713863 188.177028337 181.24840258
0.7800000000000005 -79.3399208319 31.3884276771 -21.8480995089 122.020454105 186.20075319 182.050807688
0.7900000000000005 -78.1004304338 33.239876704 -20.023943418 125.87762551 184.089052201 182.780410497
0.8000000000000005 -76.8222892706 35.069519983 -18.192880193 129.750607131 181.839603593 183.432234499
0.8100000000000005 -75.5053749012 36.8759709062 -16.3557123256 133.632266758 179.450581051 184.001338983
0.8200000000000005 -74.1496386533 38.6578273667 -14.5132913025 137.514982812 176.920711056 184.48286563
0.8300000000000005 -72.7551103611 40.413677561 -12.6665165346 141.390675637 174.249327805 184.872087952
0.8400000000000005 -71.3219027402 42.1421063213 -10.8163337844 145.250848534 171.436424255 185.164462096
0.8500000000000005 -69.8502153046 43.8417019317 -8.96373309327 149.086638578 168.482697817 185.355676125
0.8600000000000005 -68.340337728 45.5110633675 -7.10974625891 152.888876753 165.389589345 185.441690748
0.8700000000000006 -66.7926525644 47.1488078875 -5.25544406133 156.648155969 162.159314648 185.418748767
0.8800000000000006 -65.2076372721 48.7535789111 -3.40193407209 160.354902485 158.794890081 185.283249082
0.8900000000000006 -63.5858656146 50.3240542011 -1.55036429091 163.99942902 155.300167917 185.030707154
0.9000000000000006 -61.9280097928 51.8589554191 0.297994817865 167.571735337 151.680075691 184.641114601
0.9100000000000006 -60.2348529644 53.3570674864 2.14153063987 171.059630339 147.942337757 184.0660498
0.9200000000000006 -58.5072941427 54.817253422 3.97867013716 174.452134016 144.094849359 183.361849659
0.9300000000000006 -56.746331855 56.2384522528 5.80816007306 177.740323507 140.144916801 182.536137521
0.9400000000000006 -54.9530506148 57.6196783792 7.62879397002 180.915924538 136.100308489 181.590641871
0.9500000000000006 -53.1286146946 58.9600263274 9.43938200776 183.971259497 131.969281154 180.526965678
0.9600000000000006 -51.2742618886 60.258675294 11.2387525839 186.899301717 127.760512167 179.34714954
0.9700000000000006 -49.3912967119 61.5148929265 13.0257571395 189.693733619 123.483014318 178.053761585
0.9800000000000006 -47.4810830642 62.7280382181 14.7992754308 192.348995921 119.146044006 176.649896684
0.9900000000000007 -45.5450364613 63.8975634728 16.558220648 194.860324656 114.759006934 175.139146746
1.0000000000000007 -43.5846159636 65.023015328 18.3015441691 197.223774893 110.331364104 173.525557476
1.0100000000000007 -41.6013159342 66.1040348506 20.0282398427 199.436230978 105.872540414 171.813577242
1.0200000000000007 -39.5966577612 67.1403567421 21.7373477339 201.495403625 101.391837888 170.008000995
1.0300000000000007 -37.5721816697 68.1318077076 23.4279572956 203.399814678 96.8983552279 168.113911358
1.0400000000000007 -35.5294387429 69.0783040591 25.0992099455 205.148770672 92.400915061 166.136618609
1.0500000000000007 -33.4699832567 69.9798486339 26.7503010438 206.742326581 87.9079999012 164.08160105
1.0600000000000007 -31.3953654172 70.8365271209 28.3804812844 208.181241321 83.4276974915 161.954447071
1.0700000000000007 -29.3071245772 71.6485038876 29.9890575197 209.466926661 78.9676558529 159.760799989
1.0800000000000007 -27.2067829879 72.4160174071 31.5753930524 210.601391202 74.5350480567 157.506306563
