time x y z vx vy vz
0.0 -378.0 611.0 -285.0 74.0 -72.0 49.0
14.2857 -377.0 610.0 -284.0 74.0 -72.0 48.0
28.5714 -376.0 609.0 -283.0 73.0 -73.0 51.0
42.8571 -375.0 608.0 -282.0 73.0 -73.0 50.0
57.1429 -374.0 607.0 -282.0 75.0 -74.0 49.0
71.4286 -372.0 606.0 -281.0 75.0 -75.0 50.0
85.7143 -371.0 605.0 -280.0 76.0 -75.0 50.0
100.0 -370.0 604.0 -280.0 74.0 -75.0 50.0
114.286 -369.0 603.0 -279.0 74.0 -75.0 49.0
128.571 -368.0 602.0 -278.0 74.0 -75.0 49.0
142.857 -367.0 601.0 -277.0 74.0 -75.0 48.0
157.143 -366.0 600.0 -277.0 76.0 -76.0 51.0
171.429 -365.0 599.0 -276.0 75.0 -76.0 50.0
185.714 -364.0 598.0 -275.0 75.0 -77.0 51.0
200.0 -363.0 597.0 -275.0 75.0 -77.0 50.0
214.286 -362.0 595.0 -274.0 73.0 -77.0 51.0
228.571 -361.0 594.0 -273.0 75.0 -77.0 49.0
242.857 -360.0 593.0 -273.0 75.0 -78.0 49.0
257.143 -359.0 592.0 -272.0 74.0 -77.0 48.0
271.429 -357.0 591.0 -271.0 73.0 -78.0 49.0
285.714 -356.0 590.0 -270.0 73.0 -79.0 49.0
300.0 -355.0 589.0 -270.0 74.0 -81.0 50.0
314.286 -354.0 588.0 -269.0 72.0 -79.0 48.0
328.571 -353.0 586.0 -268.0 74.0 -80.0 49.0
342.857 -352.0 585.0 -268.0 73.0 -81.0 49.0
357.143 -351.0 584.0 -267.0 73.0 -82.0 48.0
371.429 -350.0 583.0 -266.0 73.0 -82.0 47.0
385.714 -349.0 582.0 -266.0 73.0 -82.0 48.0
400.0 -348.0 581.0 -265.0 72.0 -83.0 48.0
414.286 -347.0 580.0 -264.0 70.0 -82.0 47.0
428.571 -346.0 578.0 -264.0 70.0 -83.0 47.0
442.857 -345.0 577.0 -263.0 70.0 -84.0 47.0
457.143 -344.0 576.0 -262.0 69.0 -84.0 47.0
471.429 -343.0 575.0 -262.0 70.0 -84.0 46.0
485.714 -342.0 574.0 -261.0 69.0 -85.0 48.0
500.0 -341.0 572.0 -260.0 67.0 -84.0 47.0
514.286 -340.0 571.0 -260.0 68.0 -85.0 48.0
528.571 -339.0 570.0 -259.0 67.0 -85.0 48.0
542.857 -338.0 569.0 -258.0 67.0 -86.0 48.0
557.143 -337.0 567.0 -258.0 67.0 -85.0 47.0
571.429 -337.0 566.0 -257.0 65.0 -84.0 47.0
585.714 -336.0 565.0 -256.0 65.0 -85.0 47.0
600.0 -335.0 564.0 -255.0 64.0 -84.0 46.0
614.286 -334.0 563.0 -255.0 63.0 -84.0 47.0
628.571 -333.0 561.0 -254.0 62.0 -84.0 46.0
642.857 -332.0 560.0 -254.0 62.0 -84.0 45.0
657.143 -331.0 559.0 -253.0 59.0 -83.0 45.0
671.429 -330.0 558.0 -252.0 60.0 -82.0 43.0
685.714 -329.0 557.0 -252.0 59.0 -82.0 44.0
700.0 -329.0 556.0 -251.0 58.0 -82.0 44.0
714.286 -328.0 554.0 -250.0 57.0 -82.0 43.0
728.571 -327.0 553.0 -250.0 55.0 -81.0 44.0
742.857 -326.0 552.0 -249.0 55.0 -80.0 42.0
757.143 -325.0 551.0 -249.0 55.0 -81.0 42.0
771.429 -325.0 550.0 -248.0 55.0 -80.0 41.0
785.714 -324.0 549.0 -247.0 53.0 -80.0 42.0
800.0 -323.0 548.0 -247.0 53.0 -80.0 40.0
814.286 -322.0 546.0 -246.0 51.0 -78.0 40.0
828.571 -322.0 545.0 -246.0 51.0 -78.0 41.0
842.857 -321.0 544.0 -245.0 50.0 -76.0 39.0
857.143 -320.0 543.0 -244.0 49.0 -76.0 40.0
871.429 -320.0 542.0 -244.0 48.0 -74.0 40.0
885.714 -319.0 541.0 -243.0 48.0 -74.0 39.0
900.0 -318.0 540.0 -243.0 49.0 -74.0 39.0
914.286 -318.0 539.0 -242.0 48.0 -74.0 40.0
928.571 -317.0 538.0 -242.0 47.0 -73.0 41.0
942.857 -316.0 537.0 -241.0 46.0 -72.0 42.0
957.143 -316.0 536.0 -240.0 47.0 -72.0 41.0
971.429 -315.0 535.0 -240.0 46.0 -73.0 44.0
985.714 -314.0 534.0 -239.0 46.0 -70.0 43.0
1000.0 -314.0 533.0 -238.0 47.0 -71.0 44.0
1014.29 -313.0 532.0 -238.0 45.0 -69.0 45.0
1028.57 -312.0 531.0 -237.0 44.0 -69.0 45.0
1042.86 -312.0 530.0 -236.0 43.0 -68.0 47.0
1057.14 -311.0 529.0 -236.0 44.0 -68.0 47.0
1071.43 -310.0 528.0 -235.0 44.0 -66.0 48.0
1085.71 -310.0 527.0 -234.0 45.0 -65.0 47.0
1100.0 -309.0 526.0 -234.0 45.0 -65.0 49.0
1114.29 -308.0 525.0 -233.0 47.0 -65.0 50.0
1128.57 -308.0 524.0 -232.0 46.0 -65.0 51.0
1142.86 -307.0 523.0 -232.0 46.0 -63.0 50.0
1157.14 -307.0 522.0 -231.0 44.0 -63.0 51.0
1171.43 -306.0 521.0 -230.0 47.0 -64.0 53.0
1185.71 -305.0 520.0 -229.0 46.0 -63.0 53.0
1200.0 -304.0 519.0 -229.0 47.0 -64.0 54.0
1214.29 -304.0 519.0 -228.0 48.0 -62.0 53.0
1228.57 -303.0 518.0 -227.0 48.0 -62.0 55.0
1242.86 -303.0 517.0 -226.0 47.0 -63.0 55.0
1257.14 -302.0 516.0 -225.0 48.0 -62.0 56.0
1271.43 -301.0 515.0 -225.0 47.0 -62.0 56.0
1285.71 -300.0 514.0 -224.0 48.0 -61.0 57.0
1300.0 -300.0 513.0 -223.0 49.0 -60.0 55.0
1314.29 -299.0 512.0 -222.0 51.0 -61.0 56.0
1328.57 -298.0 511.0 -222.0 51.0 -60.0 58.0
1342.86 -298.0 511.0 -221.0 52.0 -60.0 57.0
1357.14 -297.0 510.0 -220.0 52.0 -61.0 59.0
1371.43 -296.0 509.0 -219.0 53.0 -62.0 60.0
1385.71 -295.0 508.0 -218.0 52.0 -61.0 59.0
1400.0 -294.0 507.0 -217.0 56.0 -63.0 60.0
1414.29 -294.0 506.0 -216.0 54.0 -62.0 61.0
1428.57 -293.0 505.0 -216.0 55.0 -62.0 61.0
1442.86 -292.0 504.0 -214.0 55.0 -61.0 61.0
1457.14 -292.0 504.0 -214.0 56.0 -62.0 62.0
1471.43 -291.0 503.0 -213.0 58.0 -63.0 63.0
1485.71 -290.0 502.0 -212.0 58.0 -61.0 62.0
1500.0 -289.0 501.0 -211.0 59.0 -63.0 62.0
1514.29 -288.0 500.0 -210.0 58.0 -62.0 63.0
1528.57 -287.0 499.0 -209.0 59.0 -63.0 64.0
1542.86 -286.0 498.0 -208.0 60.0 -62.0 63.0
1557.14 -286.0 497.0 -207.0 61.0 -63.0 63.0
1571.43 -285.0 496.0 -206.0 61.0 -64.0 63.0
1585.71 -284.0 495.0 -206.0 62.0 -63.0 64.0
1600.0 -283.0 495.0 -205.0 62.0 -64.0 64.0
1614.29 -282.0 494.0 -204.0 62.0 -65.0 66.0
1628.57 -281.0 493.0 -203.0 63.0 -65.0 66.0
1642.86 -280.0 492.0 -202.0 63.0 -65.0 67.0
1657.14 -279.0 491.0 -201.0 63.0 -65.0 67.0
1671.43 -278.0 490.0 -200.0 65.0 -66.0 67.0
1685.71 -277.0 489.0 -199.0 65.0 -67.0 68.0
1700.0 -277.0 488.0 -198.0 65.0 -66.0 68.0
1714.29 -276.0 487.0 -197.0 67.0 -68.0 68.0
1728.57 -275.0 486.0 -196.0 67.0 -67.0 68.0
1742.86 -274.0 485.0 -195.0 68.0 -67.0 69.0
1757.14 -273.0 484.0 -194.0 68.0 -68.0 68.0
1771.43 -272.0 483.0 -193.0 70.0 -69.0 70.0
1785.71 -271.0 482.0 -192.0 70.0 -68.0 69.0
1800.0 -270.0 481.0 -191.0 72.0 -69.0 69.0
1814.29 -269.0 480.0 -190.0 71.0 -69.0 69.0
1828.57 -268.0 479.0 -189.0 72.0 -69.0 69.0
1842.86 -267.0 478.0 -188.0 72.0 -69.0 69.0
1857.14 -265.0 477.0 -187.0 74.0 -70.0 69.0
1871.43 -264.0 476.0 -186.0 75.0 -70.0 70.0
